,date,floe_id,x,y,longitude,latitude,u,v,bearing,speed,u_wind,v_wind
1079,2008-04-21 12:00:00,2008_1482,539209.32078,-843748.84629,-12.41879,80.77562,0.005624297420603351,0.007568638275577878,36.61624675070237,0.009429581476499792,0.996999979019165,0.164000004529953
1081,2008-04-18 12:00:00,2008_1486,803526.35,-799385.95,0.14802,79.56473,0.0028315507487240987,-0.2855017643829605,179.43177027744554,0.2855158054213918,2.440000057220459,-5.642000198364258
1083,2008-04-18 12:00:00,2008_1488,851287.65,-1366534.15,-13.079,75.21686,-0.08926239657557863,-0.2239851177349772,201.72823701509856,0.24111637938797828,-0.621999979019165,-0.09799999743700027
1084,2008-04-19 12:00:00,2008_1488,854974.16995,-1387037.82673,-13.34691,75.04079,-0.09097559677555028,-0.23146381220662854,201.457039204125,0.2487007349605001,2.247999906539917,-4.572999954223633
1086,2008-04-18 12:00:00,2008_1490,767483.05,-960867.4,-6.38424,78.68324,-0.050666690478055554,-0.14698157681014795,199.01981842089518,0.15546928135678928,0.6449999809265137,-0.12999999523162842
1087,2008-04-19 12:00:00,2008_1490,771988.12112,-973521.94953,-6.58401,78.56698,-0.05172594101693841,-0.15178809626640533,198.81794603774384,0.16035959323429116,0.039000000804662704,-4.195000171661377
1088,2008-04-20 12:00:00,2008_1490,776634.9,-986574.55,-6.79006,78.44707,-0.04894551909337859,-0.14908890517611553,198.17488038212622,0.15691770290803095,1.2319999933242798,-2.686000108718872
1089,2008-04-21 12:00:00,2008_1490,781279.69857,-999311.77072,-6.97912,78.32921,-0.04910380288544533,-0.1512709037652263,197.98386466650257,0.15904109463833876,-0.42899999022483826,-0.1860000044107437
1091,2008-04-18 12:00:00,2008_1492,638404.15,-785150.6,-5.88556,80.67828,0.02962382403369237,-0.12299256626050115,166.45775793640604,0.1265098506272256,1.6670000553131104,-0.8450000286102295
1093,2008-04-18 12:00:00,2008_1493,845535.3,-935284.0,-2.8851,78.39914,0.03716314505472078,-0.24324550539661188,171.31349873181273,0.2460680297113206,1.625,-2.809999942779541
1095,2008-04-18 12:00:00,2008_1495,750205.35,-670685.05,3.2031,80.73008,0.00012199205680463177,-0.16194603774296865,179.95683976734244,0.16194608369055719,2.996000051498413,-6.821000099182129
1096,2008-04-19 12:00:00,2008_1495,760643.7024,-680002.8194,3.2038,80.60174,-0.0017088156649844866,-0.1703688088243583,180.57466295134236,0.1703773784022035,2.7899999618530273,-7.427000045776367
1098,2008-04-18 12:00:00,2008_1497,786640.45,-789355.55,-0.09876,79.73907,-0.018660385465271295,-0.19770196935470208,185.39197063639415,0.1985806603686272,2.447999954223633,-5.4720001220703125
1099,2008-04-19 12:00:00,2008_1497,797556.03244,-802592.82211,-0.18029,79.5826,-0.034181963698764556,-0.24684181631597318,187.88401980523872,0.24919728915955788,1.975000023841858,-6.550000190734863
1101,2008-04-18 12:00:00,2008_1500,581132.1,-750358.7,-7.24325,81.2551,0.01135927662393748,-0.10617361075834432,173.893282221621,0.10677953355809128,1.409000039100647,-0.210999995470047
1103,2008-04-18 12:00:00,2008_1506,856414.8,-1735857.85,-18.7398,72.26884,-0.0662337561468952,-0.1165059599748142,209.61827409585823,0.13401697341374108,0.9340000152587891,-0.9610000252723694
1104,2008-04-19 12:00:00,2008_1506,855736.54699,-1747417.03483,-18.90829,72.17798,-0.07955091002807338,-0.10970050537739912,215.94828856643954,0.13550848005328447,-0.9279999732971191,-1.746999979019165
1105,2008-04-20 12:00:00,2008_1506,853732.35,-1758952.15,-19.10972,72.0924,-0.03942620193169172,-0.11128754107316284,199.50787588068653,0.11806499141095737,0.6660000085830688,-2.053999900817871
1107,2008-04-18 12:00:00,2008_1507,752549.1,-762001.1,-0.35757,80.13702,-0.010560269581056506,-0.15365364814878324,183.9316274603653,0.15401611241378177,2.5360000133514404,-5.11299991607666
